Year,Week number,Sum of UNITS,Sum of Field_sourceCol_F_value_A2,Count of VEND,Sum of DOLLARS,Count of ITEM,Sum of Field_sourceCol_D_value_2,Sum of Field_sourceCol_D_value_1,Sum of Field_sourceCol_D_value_0,Sum of Field_sourceCol_F_value_A+,Sum of Field_sourceCol_F_value_C,Sum of Field_sourceCol_F_value_B,Sum of Field_sourceCol_F_value_A,Sum of Field_sourceCol_F_value_NONE,Sum of PR
2007,53,96,0,82,944.64,82,1,1,80,0,0,1,0,81,3
2008,1,188,0,171,2017.04,171,3,2,166,0,0,0,0,171,7
2008,2,306,0,276,3462.62,276,7,23,246,0,0,8,0,268,12
2008,3,349,4,319,3594.52,319,13,18,288,0,0,2,4,313,12
2008,4,236,4,209,2343.76,209,11,9,189,0,0,5,4,200,13
2008,5,342,3,315,3700.44,315,8,11,296,0,0,1,3,311,8
2008,6,311,0,277,3232.59,277,6,12,259,0,0,6,0,271,12
2008,7,281,0,261,3044.32,261,7,3,251,0,0,5,0,256,10
2008,8,283,0,250,2826.28,250,8,8,234,0,0,10,0,240,11
2008,9,298,2,268,3121.62,268,3,15,250,0,0,0,2,266,13
2008,10,328,0,300,3496.12,300,4,7,289,0,0,7,0,293,12
2008,11,345,15,306,3978.25,306,18,8,280,0,0,3,15,288,13
2008,12,417,14,368,4552.31,368,21,16,331,0,0,4,14,350,23
2008,13,290,0,256,2978.71,256,10,11,235,0,0,7,0,249,12
2008,14,315,0,276,3221.83,276,7,4,265,0,0,2,0,274,9
2008,15,351,2,283,3805.39,283,1,2,280,0,0,0,2,281,3
2008,16,285,0,248,2870.76,248,3,2,243,0,0,4,0,244,6
2008,17,316,3,282,3353.81,282,1,5,276,0,0,1,3,278,8
2008,18,360,0,311,3697.93,311,2,7,302,0,0,0,0,311,8
2008,19,456.3499985,1,395,4775.332041,395,4,9,382,0,0,4,1,390,16
2008,20,396,2,355,4396.44,355,12,12,331,0,0,3,2,350,16
2008,21,444,0,390,4776.04,390,4,9,377,0,0,0,0,390,13
2008,22,486,0,437,5171.73,437,9,9,419,0,0,0,0,437,22
2008,23,388,0,341,4038.41,341,4,19,318,0,0,8,0,333,19
2008,24,543,0,471,6150.81,471,18,15,438,0,0,0,0,471,24
2008,25,493,0,432,5289.63,432,11,18,403,0,0,3,0,429,32
2008,26,501,18,448,5524.94,448,23,12,413,0,0,0,18,430,45
2008,27,765,1,691,8134.88,691,13,27,651,0,0,10,1,680,37
2008,28,382,6,349,3989.35,349,5,19,325,0,0,1,6,342,17
2008,29,558,0,500,5844.87,500,10,17,473,0,0,0,0,500,34
2008,30,465,10,422,4827.92,422,4,12,406,0,0,0,10,412,28
2008,31,530,9,485,5575.14,485,14,24,447,0,0,3,9,473,29
2008,32,560.1599998,0,515,6296.651082,515,9,15,491,0,0,0,0,515,20
2008,33,481,10,435,5116.92,435,14,17,404,0,0,0,10,425,28
2008,34,486,11,450,5285.49,450,13,30,407,0,0,0,11,439,45
2008,35,551.5,24,504,6055.42,504,15,23,466,0,0,0,24,480,38
2008,36,430,3,390,4478.49,390,11,19,360,0,0,0,3,387,22
2008,37,408.17,0,357,4022.3592,357,6,6,345,0,0,0,0,357,16
2008,38,352.17,9,314,3721.083899,314,8,24,282,0,0,0,9,305,20
2008,39,401,9,365,4079.3,365,7,28,330,0,0,0,9,356,21
2008,40,375.51,3,322,3742.0698,322,9,22,291,0,0,0,3,319,24
2008,41,386,3,332,4255.02,332,3,23,306,0,0,0,3,329,14
2008,42,357,0,321,3898.64,321,5,18,298,0,0,9,0,312,16
2008,43,354,0,320,3701.65,320,7,17,296,0,0,1,0,319,11
2008,44,281,0,251,2830.45,251,1,19,231,0,0,2,0,249,8
2008,45,388,0,347,4149.17,347,0,28,319,0,0,2,0,345,7
2008,46,384,4,334,3977.56,334,1,23,310,0,0,5,4,325,22
2008,47,463,0,392,4998.5,392,0,26,366,0,0,2,0,390,16
2008,48,577,3,500,5866.28,500,0,17,483,0,0,9,3,488,12
2008,49,391,3,327,3712.17,327,3,16,308,0,0,5,3,319,25
2008,50,425,6,362,4311.52,362,3,22,337,0,0,11,6,345,16
2008,51,568.42,45,497,6007.1508,497,2,45,450,0,0,2,45,450,27
2008,52,638,5,572,6819.02,572,5,19,548,0,0,3,5,564,26
2008,53,327,0,288,3516.34,288,1,5,282,0,0,0,0,288,6
2009,2009,,,,,,,,,,,,,,
2009,1,131,0,116,1319.39,116,0,4,112,0,0,0,0,116,4
2009,2,303,0,270,3222.18,270,7,2,261,0,0,0,0,270,9
2009,3,350,0,299,3521.1,299,6,11,282,0,0,3,0,296,8
2009,4,361,0,300,3424.73,300,7,24,269,0,0,6,0,294,17
2009,5,410,0,353,4398.43,353,16,15,322,0,0,1,0,352,9
2009,6,206,2,189,2108.9,189,6,14,169,0,0,2,2,185,7
2009,7,391,0,317,3811.72,317,5,16,296,0,0,2,0,315,8
2009,8,120,0,113,1319.18,113,1,7,105,0,0,0,0,113,5
2009,9,132,0,112,1312.74,112,10,6,96,1,9,2,0,100,11
2009,10,144,0,128,1344.94,128,4,19,105,0,0,0,0,128,18
2009,11,138,0,117,1302.58,117,0,24,93,0,4,7,0,106,25
2009,12,181,0,167,1865.42,167,2,29,136,0,3,4,0,160,26
2009,13,239,0,208,2512.6,208,3,25,180,0,0,14,0,194,13
2009,14,252,36,233,3065.66,233,1,48,184,0,0,7,36,190,8
2009,15,295,13,274,3339.83,274,3,26,245,9,0,1,13,251,16
2009,16,396.16,0,328,4035.0584,328,1,13,314,0,0,4,0,324,16
2009,17,392,0,341,4042.62,341,0,13,328,0,0,1,0,340,15
2009,18,435,3,371,4505.88,371,0,27,344,0,0,1,3,367,15
2009,19,506.329999,15,414,5059.932588,414,6,26,382,0,20,6,15,373,49
2009,20,193,0,157,1821.17,157,1,23,133,0,3,4,0,150,29
2009,21,338,44,237,3062.96,237,0,78,159,5,3,0,44,185,86
2009,22,136,6,119,1360.52,119,0,24,95,1,0,0,6,112,28
2009,23,148,1,137,1582.34,137,0,23,114,0,0,4,1,132,27
2009,24,221.2399999,0,164,2265.12,164,1,43,120,0,0,1,0,163,17
2009,25,172,9,147,1705.9,147,1,32,114,0,0,0,9,138,15
2009,26,229,0,180,2230.03,180,0,25,155,0,20,0,0,160,9
2009,27,256,19,195,2523.51,195,0,46,149,0,3,0,19,173,16
2009,28,198,5,152,1572.73,152,0,13,139,0,0,0,5,147,15
2009,29,194,6,155,1678.47,155,0,13,142,0,0,0,6,149,14
2009,30,201,3,162,1971.14,162,0,27,135,0,0,13,3,146,16
2009,31,169,4,154,1662.97,154,1,23,130,0,0,4,4,146,16
2009,32,247,0,235,2683.24,235,0,8,227,0,0,1,0,234,7
2009,33,262,0,236,2830.8,236,0,21,215,0,0,0,0,236,18
2009,34,246,0,230,2625.73,230,0,34,196,0,0,7,0,223,15
2009,35,271,0,242,2870.38,242,1,34,207,0,0,1,0,241,19
2009,36,542.4799995,23,471,5961.487988,471,0,74,397,0,0,8,23,440,34
2009,37,451,1,389,4637.17,389,0,21,368,0,0,0,1,388,12
2009,38,428,0,380,4525.09,380,0,21,359,0,0,0,0,380,19
2009,39,378,0,335,4009.23,335,0,23,312,0,0,4,0,331,22
2009,40,361,0,288,3214.5,288,0,42,246,0,0,3,0,285,28
2009,41,275.1699991,0,230,2690.523391,230,0,16,214,0,0,0,0,230,15
2009,42,217,0,181,2084.57,181,0,14,167,0,0,7,0,174,8
2009,43,248,0,206,2325.52,206,0,10,196,0,0,4,0,202,8
2009,44,196,1,171,1962.59,171,1,11,159,0,0,0,1,170,11
2009,45,206.04,1,178,2109.1412,178,0,16,162,0,0,0,1,177,7
2009,46,220,0,194,2242.98,194,2,29,163,0,0,2,0,192,8
2009,47,212.04,6,216,2365.179996,216,1,38,177,0,0,6,6,204,15
2009,48,479,5,433,4996.5,433,0,26,407,0,0,5,5,423,11
2009,49,359,1,315,3581.8,315,0,25,290,0,0,1,1,313,18
2009,50,389,0,335,3974.95,335,3,8,324,0,0,0,0,335,13
2009,51,511,19,456,5826.93,456,0,30,426,0,0,0,19,437,15
2009,52,593,20,533,6481.51,533,8,27,498,0,0,0,20,513,11
2009,53,324,1,278,3426.12,278,0,7,271,0,0,0,1,277,7
2010,2010,,,,,,,,,,,,,,
2010,1,95,0,83,876.76,83,0,3,80,0,0,0,0,83,5
2010,2,335.3999996,4,292,3325.85719,292,0,17,275,0,0,3,4,285,13
2010,3,334,0,283,3259.9,283,0,19,264,0,0,5,0,278,8
2010,4,319.64,3,303,3323.169998,303,0,24,279,0,0,0,3,300,6
2010,5,320.6799999,2,345,3239.73999,345,5,12,328,0,0,1,2,342,3
